soc_code,occupation_title,employment_2025,forecast_2030,forecast_2035
11-1011,Chief Executives,204350.0,189992.72727272706,180294.09090909082
11-1021,General and Operations Managers,3503020.0,4505220.0,5369624.090909123
11-2011,Advertising and Promotions Managers,21470.0,15000.0,10369.090909090824
11-2021,Marketing Managers,395240.0,501613.6363636404,609306.8181818202
11-2022,Sales Managers,637080.0,761357.2727272734,911123.636363633
11-2032,Public Relations Managers,74850.0,98806.0,119696.0
11-2033,Fundraising Managers,38810.0,60738.0,81698.0
11-3012,Administrative Services Managers,263960.0,311737.0,359862.0
11-3013,Facilities Managers,156180.0,223183.0,290188.0
11-3021,Computer and Information Systems Managers,670570.0,827787.272727266,1002149.9999999851
11-3031,Financial Managers,841710.0,1002638.1818181872,1166261.363636367
11-3051,Industrial Production Managers,246250.0,275735.45454545505,315263.18181818165
11-3061,Purchasing Managers,84320.0,85548.18181818165,91285.90909090918
11-3071,"Transportation, Storage, and Distribution Managers",221180.0,270872.7272727266,330048.6363636367
11-3111,Compensation and Benefits Managers,22940.0,23108.18181818188,26050.454545454588
11-3121,Human Resources Managers,220660.0,267359.0909090899,317922.7272727266
11-3131,Training and Development Managers,48050.0,52657.27272727294,59820.000000000466
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6500.0,7532.727272727236,8614.090909090883
11-9021,Construction Managers,380360.0,417494.5454545468,478237.2727272734
11-9031,"Education Administrators, Preschool and Childcare Center/Program",73660.0,83107.27272727247,96495.0
11-9032,"Education Administrators, Elementary and Secondary School",328330.0,365004.5454545431,409500.4545454532
11-9033,"Education Administrators, Postsecondary",180470.0,200203.6363636367,223365.45454545505
11-9041,Architectural and Engineering Managers,220260.0,233052.7272727266,252339.54545454495
11-9051,Food Service Managers,238430.0,263855.4545454532,285187.7272727266
11-9071,Gaming Managers,5030.0,4983.636363636353,5323.636363636353
11-9072,"Entertainment and Recreation Managers, Except Gambling",37980.0,66901.0,93956.0
11-9081,Lodging Managers,42620.0,45019.090909090824,48600.45454545459
11-9111,Medical and Health Services Managers,597080.0,714139.0909090862,855038.636363633
11-9121,Natural Sciences Managers,108690.0,133168.1818181835,161947.72727272846
11-9131,Postmasters and Mail Superintendents,13810.0,12907.272727272735,12425.0
11-9141,"Property, Real Estate, and Community Association Managers",311180.0,376798.1818181835,448276.3636363633
11-9151,Social and Community Service Managers,209330.0,235815.45454545505,274281.81818181835
11-9161,Emergency Management Directors,13500.0,14497.272727272706,16365.0
11-9171,Funeral Home Managers,13910.0,18501.428571428405,22294.28571428545
11-9179,"Personal Service Managers, All Other",10450.0,15155.0,19080.0
11-9199,"Managers, All Other",622190.0,757851.4897959158,885014.0408163294
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",12620.0,12711.818181818177,11995.0
13-1031,"Claims Adjusters, Examiners, and Investigators",324230.0,325762.7272727275,344220.0
13-1032,"Insurance Appraisers, Auto Damage",11560.0,5399.090909091057,1753.1818181818817
13-1041,Compliance Officers,417070.0,488707.2727272697,566863.1818181798
13-1051,Cost Estimators,224220.0,225248.18181818188,230521.36363636353
13-1071,Human Resources Specialists,912430.0,1185532.727272734,1426184.0909090936
13-1074,Farm Labor Contractors,310.0,-26.81818181819108,-307.72727272727934
13-1075,Labor Relations Specialists,64810.0,50682.72727272706,40649.090909090824
13-1081,Logisticians,251040.0,300674.5454545468,356322.2727272734
13-1082,Project Management Specialists,1066670.0,1487155.0,1891090.0
13-1111,Management Analysts,898280.0,1048803.636363633,1198348.636363633
13-1121,"Meeting, Convention, and Event Planners",142860.0,155384.54545454495,177027.7272727266
13-1131,Fundraisers,111040.0,132168.1818181835,155549.5454545468
13-1141,"Compensation, Benefits, and Job Analysis Specialists",112380.0,120749.99999999907,135846.81818181742
13-1151,Training and Development Specialists,458300.0,541907.2727272734,643425.4545454532
13-1161,Market Research Analysts and Marketing Specialists,899580.0,1099735.4545454383,1294984.545454532
13-1199,"Business Operations Specialists, All Other",1087090.0,1206898.0816326514,1290297.673469387
13-2011,Accountants and Auditors,1449500.0,1582847.2727272734,1711351.363636367
13-2031,Budget Analysts,47160.0,40569.99999999977,35555.454545454355
13-2041,Credit Analysts,64390.0,64984.54545454541,61788.18181818165
13-2052,Personal Financial Advisors,266800.0,330661.8181818202,378519.5454545468
13-2053,Insurance Underwriters,105420.0,118280.0,127531.81818181835
13-2061,Financial Examiners,67830.0,78628.18181818165,88119.54545454541
13-2071,Credit Counselors,27770.0,24323.63636363647,20881.363636363763
13-2072,Loan Officers,274330.0,305151.818181818,302704.9999999999
13-2081,"Tax Examiners and Collectors, and Revenue Agents",56610.0,48731.81818181835,45848.63636363647
13-2082,Tax Preparers,76480.0,84141.81818181835,89602.27272727294
13-2099,"Financial Specialists, All Other",132130.0,128675.16326530615,129819.34693877556
15-1211,Computer Systems Analysts,519530.0,421935.7142857164,356180.3571428582
15-1212,Information Security Analysts,190650.0,246052.85714285448,298951.0714285672
15-1221,Computer and Information Research Scientists,37200.0,45258.57142857136,52428.214285714086
15-1231,Computer Network Support Specialists,146190.0,106378.5714285709,68746.42857142724
15-1232,Computer User Support Specialists,717190.0,782412.8571428582,848439.6428571455
15-1241,Computer Network Architects,179740.0,204352.85714285634,226236.78571428545
15-1242,Database Administrators,69990.0,49770.0,30220.0
15-1243,Database Architects,67140.0,85938.0,103788.0
15-1244,Network and Computer Systems Administrators,314340.0,282932.85714285634,255066.78571428545
15-1251,Computer Programmers,92230.0,582.8571428582072,-87043.92857142538
15-1252,Software Developers,1687890.0,2116585.0,2500120.0
15-1253,Software Quality Assurance Analysts and Testers,186740.0,192858.0,191168.0
15-1254,Web Developers,70190.0,54254.0,34744.0
15-1255,Web and Digital Interface Designers,113330.0,156269.0,194244.0
15-1299,"Computer Occupations, All Other",435370.0,506941.4285714291,568943.2142857164
15-2011,Actuaries,26670.0,31737.272727272706,36108.18181818188
15-2021,Mathematicians,2030.0,1405.4545454545296,898.636363636353
15-2031,Operations Research Analysts,108510.0,113004.54545454541,117275.45454545459
